input_vs2	checkv_name	length.checkv
CP003355.1||2_partial	CP003355.1||2_partial_1	28027
CP003355.1||3_partial	CP003355.1||3_partial_1	9285
CP019652.1||0_partial	CP019652.1||0_partial_1	59589
CP019652.1||1_partial	CP019652.1||1_partial_1	30938
CP019652.1||2_partial	CP019652.1||2_partial_1	28027
CP019652.1||3_partial	CP019652.1||3_partial_1	9285
ADFW01000001.1||0_partial	ADFW01000001.1||0_partial_1	188984
ADFW01000001.1||1_partial	ADFW01000001.1||1_partial_1	97617
ADFW01000001.1||2_partial	ADFW01000001.1||2_partial_1	57086
ADFW01000001.1||3_partial	ADFW01000001.1||3_partial_1	41619
ADFW01000001.1||4_partial	ADFW01000001.1||4_partial_1	82374
ADFW01000001.1||5_partial	ADFW01000001.1||5_partial_1	25109
ADFW01000001.1||6_partial	ADFW01000001.1||6_partial_1	30581
ADFW01000002.1||0_partial	ADFW01000002.1||0_partial_1	57063
CP019651.1||0_partial	CP019651.1||0_partial_1	49390
CP019651.1||1_partial	CP019651.1||1_partial_1	52289
CP019651.1||2_partial	CP019651.1||2_partial_1	50840
CP019651.1||3_partial	CP019651.1||3_partial_1	39043
CP019651.1||4_partial	CP019651.1||4_partial_1	37726
CP019651.1||5_partial	CP019651.1||5_partial_1	23975
CP019651.1||6_partial	CP019651.1||6_partial_1	14182
CP019655.1||0_partial	CP019655.1||0_partial_1	43927
CP019655.1||0_partial	CP019655.1||0_partial_2	102548
CP019655.1||0_partial	CP019655.1||0_partial_3	42289
CP019655.1||1_partial	CP019655.1||1_partial_1	47982
CP019655.1||2_partial	CP019655.1||2_partial_1	54149
CP019655.1||3_partial	CP019655.1||3_partial_1	44586
CP019655.1||4_partial	CP019655.1||4_partial_1	21257
CP019659.1||0_partial	CP019659.1||0_partial_1	42103
CP019659.1||1_partial	CP019659.1||1_partial_1	54149
CP019659.1||2_partial	CP019659.1||2_partial_1	44482
CP019659.1||3_partial	CP019659.1||3_partial_1	40697
CP019659.1||4_partial	CP019659.1||4_partial_1	22523
CP019717.1||0_partial	CP019717.1||0_partial_1	44394
CP019717.1||0_partial	CP019717.1||0_partial_2	117278
CP019717.1||0_partial	CP019717.1||0_partial_3	36243
CP019717.1||1_partial	CP019717.1||1_partial_1	59853
CP019717.1||1_partial	CP019717.1||1_partial_2	42067
CP019717.1||2_partial	CP019717.1||2_partial_1	39615
CP019717.1||3_partial	CP019717.1||3_partial_1	41260
CP019717.1||4_partial	CP019717.1||4_partial_1	39150
CP019717.1||5_partial	CP019717.1||5_partial_1	24386
CP019717.1||6_partial	CP019717.1||6_partial_1	26145
LAWY01000028.1||0_partial	LAWY01000028.1||0_partial_1	10477
CP020557.1||0_partial	CP020557.1||0_partial_1	52400
CP020557.1||1_partial	CP020557.1||1_partial_1	54003
CP020557.1||2_partial	CP020557.1||2_partial_1	46058
CP020557.1||3_partial	CP020557.1||3_partial_1	63990
CP020557.1||4_partial	CP020557.1||4_partial_1	48855
CP020557.1||5_partial	CP020557.1||5_partial_1	33113
CP020557.1||6_partial	CP020557.1||6_partial_1	20972
CP020557.1||7_partial	CP020557.1||7_partial_1	25258
NAGY01000049.1||0_partial	NAGY01000049.1||0_partial_1	11762
NAGY01000055.1||0_partial	NAGY01000055.1||0_partial_1	17607
NAHB01000052.1||0_partial	NAHB01000052.1||0_partial_1	17607
NAHD01000066.1||0_partial	NAHD01000066.1||0_partial_1	15917
NAHH01000050.1||0_partial	NAHH01000050.1||0_partial_1	15917
NAHH01000047.1||0_partial	NAHH01000047.1||0_partial_1	2993
MVDP01000055.1||0_partial	MVDP01000055.1||0_partial_1	16775
NXEN01000063.1||0_partial	NXEN01000063.1||0_partial_1	8065
NXEN01000024.1||0_partial	NXEN01000024.1||0_partial_1	25151
QGLS01000009.1||0_partial	QGLS01000009.1||0_partial_1	25967
MDVE01000063.1||0_partial	MDVE01000063.1||0_partial_1	24129
MDVF01000049.1||0_partial	MDVF01000049.1||0_partial_1	22086
MDVG01000045.1||0_partial	MDVG01000045.1||0_partial_1	34315
MDVH01000027.1||0_partial	MDVH01000027.1||0_partial_1	23206
MDVI01000031.1||0_partial	MDVI01000031.1||0_partial_1	23206
MDVI01000042.1||0_partial	MDVI01000042.1||0_partial_1	3058
MDUY01000020.1||0_partial	MDUY01000020.1||0_partial_1	34794
MDUY01000052.1||0_partial	MDUY01000052.1||0_partial_1	21836
MDVJ01000001.1||0_partial	MDVJ01000001.1||0_partial_1	16982
MDVJ01000029.1||0_partial	MDVJ01000029.1||0_partial_1	18205
MEIU01000057.1||0_partial	MEIU01000057.1||0_partial_1	37000
MEIU01000057.1||1_partial	MEIU01000057.1||1_partial_1	20210
MEIT01000086.1||0_partial	MEIT01000086.1||0_partial_1	14818
MEIT01000087.1||0_partial	MEIT01000087.1||0_partial_1	36993
MEIX01000029.1||0_partial	MEIX01000029.1||0_partial_1	15131
NAHQ01000122.1||0_partial	NAHQ01000122.1||0_partial_1	14857
NAHM01000068.1||0_partial	NAHM01000068.1||0_partial_1	24442
NAHN01000079.1||0_partial	NAHN01000079.1||0_partial_1	15099
NAHO01000037.1||0_partial	NAHO01000037.1||0_partial_1	16548
NAHO01000035.1||0_partial	NAHO01000035.1||0_partial_1	24439
NAHI01000074.1||0_partial	NAHI01000074.1||0_partial_1	34838
NAHI01000068.1||0_partial	NAHI01000068.1||0_partial_1	15222
NAHJ01000056.1||0_partial	NAHJ01000056.1||0_partial_1	14409
MEIS01000093.1||0_partial	MEIS01000093.1||0_partial_1	16212
MEIR01000080.1||0_partial	MEIR01000080.1||0_partial_1	41764
MEIQ01000028.1||0_partial	MEIQ01000028.1||0_partial_1	33584
MEIQ01000033.1||0_partial	MEIQ01000033.1||0_partial_1	35047
MDUZ01000051.1||0_partial	MDUZ01000051.1||0_partial_1	16937
MEIP01000002.1||0_partial	MEIP01000002.1||0_partial_1	17733
MEIP01000010.1||0_partial	MEIP01000010.1||0_partial_1	22243
MEIP01000018.1||0_partial	MEIP01000018.1||0_partial_1	26472
MDVA01000035.1||0_partial	MDVA01000035.1||0_partial_1	20856
MDVA01000056.1||0_partial	MDVA01000056.1||0_partial_1	22114
MEIO01000026.1||0_partial	MEIO01000026.1||0_partial_1	30117
JFZW01000002.1||0_partial	JFZW01000002.1||0_partial_1	24900
JFZW01000003.1||0_partial	JFZW01000003.1||0_partial_1	33803
JFZW01000006.1||0_partial	JFZW01000006.1||0_partial_1	23223
CP007446.1||0_partial	CP007446.1||0_partial_1	44924
CP007446.1||1_partial	CP007446.1||1_partial_1	33113
CP007446.1||2_partial	CP007446.1||2_partial_1	27082
MEIM01000001.1||0_partial	MEIM01000001.1||0_partial_1	22451
MEIL01000029.1||0_partial	MEIL01000029.1||0_partial_1	54034
MEIL01000029.1||1_partial	MEIL01000029.1||1_partial_1	21019
JFZV01000005.1||0_partial	JFZV01000005.1||0_partial_1	22107
MEIK01000034.1||0_partial	MEIK01000034.1||0_partial_1	19466
MEIJ01000002.1||0_partial	MEIJ01000002.1||0_partial_1	47160
MEIJ01000027.1||0_partial	MEIJ01000027.1||0_partial_1	39509
MEIJ01000027.1||1_partial	MEIJ01000027.1||1_partial_1	25380
MEII01000010.1||0_partial	MEII01000010.1||0_partial_1	43009
MEII01000018.1||0_partial	MEII01000018.1||0_partial_1	26706
MEIN01000004.1||0_partial	MEIN01000004.1||0_partial_1	28636
MEIN01000006.1||0_partial	MEIN01000006.1||0_partial_1	42460
JOPB01000018.1||full	JOPB01000018.1||full	43748
NARX01000149.1||full	NARX01000149.1||full	4887
LZGS01000030.1||full	LZGS01000030.1||full	3890
LZHG01000002.1||full	LZHG01000002.1||full	3891
LZGU01000067.1||full	LZGU01000067.1||full	6281
LZHL01000078.1||full	LZHL01000078.1||full	3886
MCIU01000072.1||full	MCIU01000072.1||full	2330
LZGJ01000026.1||full	LZGJ01000026.1||full	2169
QUBO01000013.1||full	QUBO01000013.1||full	9956
QUBO01000010.1||full	QUBO01000010.1||full	43827
QUBN01000035.1||full	QUBN01000035.1||full	6715
VCSE01000020.1||full	VCSE01000020.1||full	14793
JAAEDZ010000007.1||full	JAAEDZ010000007.1||full	40663
JAAEEB010000013.1||full	JAAEEB010000013.1||full	36541
CP019718.1||full	CP019718.1||full	44919
MDVH01000009.1||full	MDVH01000009.1||full	6903
MDVI01000012.1||full	MDVI01000012.1||full	6903
MDUY01000043.1||full	MDUY01000043.1||full	1876
JACG01000064.1||full	JACG01000064.1||full	2478
LXYU01000005.1||full	LXYU01000005.1||full	12730
PCHJ01000014.1||full	PCHJ01000014.1||full	6576
PCHJ01000023.1||full	PCHJ01000023.1||full	5831
KQ033861.1||full	KQ033861.1||full	4277
JDTU01000021.1||full	JDTU01000021.1||full	3189
QGLH01000002.1||full	QGLH01000002.1||full	5070
QGLH01000006.1||full	QGLH01000006.1||full	4181
QGLJ01000003.1||full	QGLJ01000003.1||full	5070
QGLJ01000004.1||full	QGLJ01000004.1||full	3225
QGLJ01000008.1||full	QGLJ01000008.1||full	4337
QGLK01000002.1||full	QGLK01000002.1||full	4140
QGLK01000007.1||full	QGLK01000007.1||full	3459
QGLL01000007.1||full	QGLL01000007.1||full	9451
WKKW01000011.1||full	WKKW01000011.1||full	4998
WKKW01000012.1||full	WKKW01000012.1||full	4661
WKKW01000013.1||full	WKKW01000013.1||full	2117
VMHJ01000007.1||full	VMHJ01000007.1||full	7221
WHNS01000008.1||full	WHNS01000008.1||full	29504
WHNS01000009.1||full	WHNS01000009.1||full	3602
AGFR01000019.1||full	AGFR01000019.1||full	1621
AGFR01000018.1||full	AGFR01000018.1||full	35405
AGFR01000015.1||full	AGFR01000015.1||full	2818
AGFR01000004.1||full	AGFR01000004.1||full	1621
JOPB01000009.1||full	JOPB01000009.1||full	1613
JOPB01000014.1||full	JOPB01000014.1||full	12257
JOPB01000015.1||full	JOPB01000015.1||full	10421
JOPB01000047.1||full	JOPB01000047.1||full	10527
JOPB01000050.1||full	JOPB01000050.1||full	5384
QGLT01000011.1||full	QGLT01000011.1||full	3164
WNID01000002.1||full	WNID01000002.1||full	3383
WNID01000003.1||full	WNID01000003.1||full	3278
WNIE01000016.1||full	WNIE01000016.1||full	7441
WNIE01000018.1||full	WNIE01000018.1||full	3131
WNIG01000007.1||full	WNIG01000007.1||full	10804
WNIG01000014.1||full	WNIG01000014.1||full	31645
WNIG01000015.1||full	WNIG01000015.1||full	29483
WNIG01000019.1||full	WNIG01000019.1||full	2222
WNII01000002.1||full	WNII01000002.1||full	4570
WNIL01000017.1||full	WNIL01000017.1||full	3191
WNIL01000018.1||full	WNIL01000018.1||full	2242
WNIM01000002.1||full	WNIM01000002.1||full	4567
WNIM01000008.1||full	WNIM01000008.1||full	9447
WNIM01000015.1||full	WNIM01000015.1||full	35742
WNIM01000017.1||full	WNIM01000017.1||full	5433
WNIM01000020.1||full	WNIM01000020.1||full	2632
ATSX01000012.1||full	ATSX01000012.1||full	6236
QGTI01000041.1||full	QGTI01000041.1||full	2420
QGLM01000037.1||full	QGLM01000037.1||full	1789
NARO01000021.1||full	NARO01000021.1||full	43485
NARO01000030.1||full	NARO01000030.1||full	30221
NARO01000045.1||full	NARO01000045.1||full	16369
NARO01000048.1||full	NARO01000048.1||full	14235
NARO01000072.1||full	NARO01000072.1||full	2299
NARO01000073.1||full	NARO01000073.1||full	2307
NARO01000074.1||full	NARO01000074.1||full	1897
NARO01000077.1||full	NARO01000077.1||full	1683
MZNE01000102.1||full	MZNE01000102.1||full	5694
MZNE01000122.1||full	MZNE01000122.1||full	1497
MZNE01000128.1||full	MZNE01000128.1||full	1802
MZNE01000078.1||full	MZNE01000078.1||full	10044
MZNE01000088.1||full	MZNE01000088.1||full	7793
MZNE01000097.1||full	MZNE01000097.1||full	6430
MZNF01000100.1||full	MZNF01000100.1||full	2555
NARP01000053.1||full	NARP01000053.1||full	15443
NARP01000074.1||full	NARP01000074.1||full	1946
NARQ01000028.1||full	NARQ01000028.1||full	43485
NARQ01000033.1||full	NARQ01000033.1||full	30221
NARQ01000057.1||full	NARQ01000057.1||full	7041
NARQ01000060.1||full	NARQ01000060.1||full	5752
NARQ01000065.1||full	NARQ01000065.1||full	3556
NARQ01000067.1||full	NARQ01000067.1||full	1959
NARQ01000069.1||full	NARQ01000069.1||full	2444
NARQ01000072.1||full	NARQ01000072.1||full	2299
NARQ01000075.1||full	NARQ01000075.1||full	2307
NARQ01000076.1||full	NARQ01000076.1||full	1897
NARQ01000079.1||full	NARQ01000079.1||full	1683
MZNG01000103.1||full	MZNG01000103.1||full	7126
MZNG01000105.1||full	MZNG01000105.1||full	6885
MZNG01000132.1||full	MZNG01000132.1||full	3949
MZNG01000153.1||full	MZNG01000153.1||full	1870
MZNG01000162.1||full	MZNG01000162.1||full	1827
NARR01000049.1||full	NARR01000049.1||full	17312
NARR01000051.1||full	NARR01000051.1||full	16369
NARR01000081.1||full	NARR01000081.1||full	2307
NARS01000137.1||full	NARS01000137.1||full	5983
NARS01000154.1||full	NARS01000154.1||full	5145
NARS01000188.1||full	NARS01000188.1||full	3150
NARS01000189.1||full	NARS01000189.1||full	3739
NARS01000209.1||full	NARS01000209.1||full	3168
NARS01000214.1||full	NARS01000214.1||full	1749
NARS01000215.1||full	NARS01000215.1||full	2672
NARS01000224.1||full	NARS01000224.1||full	1521
NARS01000225.1||full	NARS01000225.1||full	2555
NARS01000233.1||full	NARS01000233.1||full	2210
NARS01000246.1||full	NARS01000246.1||full	1824
NARS01000253.1||full	NARS01000253.1||full	1870
NARS01000257.1||full	NARS01000257.1||full	2154
NARS01000275.1||full	NARS01000275.1||full	1855
NARS01000282.1||full	NARS01000282.1||full	1042
NART01000102.1||full	NART01000102.1||full	7793
NART01000106.1||full	NART01000106.1||full	6484
NART01000114.1||full	NART01000114.1||full	5305
NART01000042.1||full	NART01000042.1||full	18974
NART01000089.1||full	NART01000089.1||full	9756
NARY01000065.1||full	NARY01000065.1||full	2744
NARY01000126.1||full	NARY01000126.1||full	23266
NARY01000080.1||full	NARY01000080.1||full	4797
NARY01000077.1||full	NARY01000077.1||full	4099
NARY01000073.1||full	NARY01000073.1||full	2936
NARY01000070.1||full	NARY01000070.1||full	2928
MZNH01000124.1||full	MZNH01000124.1||full	7557
MZNH01000138.1||full	MZNH01000138.1||full	5777
MZNH01000215.1||full	MZNH01000215.1||full	4321
MZNH01000218.1||full	MZNH01000218.1||full	3800
MZNH01000232.1||full	MZNH01000232.1||full	3803
MZNH01000240.1||full	MZNH01000240.1||full	3653
MZNH01000244.1||full	MZNH01000244.1||full	3616
MZNH01000245.1||full	MZNH01000245.1||full	3520
MZNH01000275.1||full	MZNH01000275.1||full	2936
MZNH01000278.1||full	MZNH01000278.1||full	2790
MZNH01000297.1||full	MZNH01000297.1||full	2957
MZNH01000298.1||full	MZNH01000298.1||full	2594
MZNH01000300.1||full	MZNH01000300.1||full	2703
MZNH01000308.1||full	MZNH01000308.1||full	2266
MZNH01000328.1||full	MZNH01000328.1||full	2213
MZNH01000342.1||full	MZNH01000342.1||full	2385
MZNH01000351.1||full	MZNH01000351.1||full	2201
MZNH01000367.1||full	MZNH01000367.1||full	2144
MZNH01000373.1||full	MZNH01000373.1||full	1605
MZNH01000374.1||full	MZNH01000374.1||full	2038
MZNH01000382.1||full	MZNH01000382.1||full	2069
MZNH01000387.1||full	MZNH01000387.1||full	1744
MZNH01000401.1||full	MZNH01000401.1||full	1161
MZNH01000406.1||full	MZNH01000406.1||full	1772
MZNH01000415.1||full	MZNH01000415.1||full	1472
MZNH01000051.1||full	MZNH01000051.1||full	13063
MZNH01000097.1||full	MZNH01000097.1||full	8261
NARX01000107.1||full	NARX01000107.1||full	8396
NARX01000136.1||full	NARX01000136.1||full	5225
NARX01000138.1||full	NARX01000138.1||full	5292
NARX01000143.1||full	NARX01000143.1||full	5166
NARX01000146.1||full	NARX01000146.1||full	3945
NARX01000016.1||full	NARX01000016.1||full	33272
NARX01000172.1||full	NARX01000172.1||full	3632
NARX01000174.1||full	NARX01000174.1||full	3535
NARX01000180.1||full	NARX01000180.1||full	3139
NARX01000195.1||full	NARX01000195.1||full	2138
NARX01000222.1||full	NARX01000222.1||full	1897
NARX01000235.1||full	NARX01000235.1||full	1683
NARX01000236.1||full	NARX01000236.1||full	1931
NARX01000238.1||full	NARX01000238.1||full	1831
NARX01000029.1||full	NARX01000029.1||full	25722
NARX01000067.1||full	NARX01000067.1||full	13651
NARX01000081.1||full	NARX01000081.1||full	11372
NARX01000099.1||full	NARX01000099.1||full	8405
NARU01000112.1||full	NARU01000112.1||full	9933
NARU01000012.1||full	NARU01000012.1||full	31774
NARU01000131.1||full	NARU01000131.1||full	8295
NARU01000137.1||full	NARU01000137.1||full	6886
NARU01000158.1||full	NARU01000158.1||full	5971
NARU01000167.1||full	NARU01000167.1||full	5340
NARU01000199.1||full	NARU01000199.1||full	3554
NARU01000208.1||full	NARU01000208.1||full	3228
NARU01000223.1||full	NARU01000223.1||full	1749
NARU01000227.1||full	NARU01000227.1||full	3054
NARU01000233.1||full	NARU01000233.1||full	1355
NARU01000250.1||full	NARU01000250.1||full	2175
NARU01000096.1||full	NARU01000096.1||full	11417
LZGR01000013.1||full	LZGR01000013.1||full	8531
LZGR01000021.1||full	LZGR01000021.1||full	12439
LZGS01000015.1||full	LZGS01000015.1||full	2972
LZGS01000040.1||full	LZGS01000040.1||full	9540
LZGS01000051.1||full	LZGS01000051.1||full	7033
LZGT01000018.1||full	LZGT01000018.1||full	6108
LZGT01000040.1||full	LZGT01000040.1||full	12310
LZGT01000043.1||full	LZGT01000043.1||full	3132
LZGT01000066.1||full	LZGT01000066.1||full	1870
LZGT01000076.1||full	LZGT01000076.1||full	1625
LZGT01000084.1||full	LZGT01000084.1||full	2053
LZGT01000085.1||full	LZGT01000085.1||full	6068
MZNI01000055.1||full	MZNI01000055.1||full	16372
MZNI01000057.1||full	MZNI01000057.1||full	13482
MZNI01000086.1||full	MZNI01000086.1||full	3355
MZNI01000090.1||full	MZNI01000090.1||full	1956
LZHC01000008.1||full	LZHC01000008.1||full	3542
LZHC01000019.1||full	LZHC01000019.1||full	1920
LZHC01000031.1||full	LZHC01000031.1||full	11409
LZHC01000042.1||full	LZHC01000042.1||full	2491
LZHC01000043.1||full	LZHC01000043.1||full	2138
LZHC01000052.1||full	LZHC01000052.1||full	1604
LZHC01000055.1||full	LZHC01000055.1||full	2135
LZHC01000066.1||full	LZHC01000066.1||full	3583
LZHD01000008.1||full	LZHD01000008.1||full	4786
LZHD01000054.1||full	LZHD01000054.1||full	73567
LZHD01000064.1||full	LZHD01000064.1||full	3821
LZHE01000011.1||full	LZHE01000011.1||full	4244
LZHE01000016.1||full	LZHE01000016.1||full	27535
LZHE01000051.1||full	LZHE01000051.1||full	16556
LZHE01000059.1||full	LZHE01000059.1||full	2605
LZHE01000063.1||full	LZHE01000063.1||full	86628
LZHE01000079.1||full	LZHE01000079.1||full	12759
LZHE01000113.1||full	LZHE01000113.1||full	1548
LZHE01000129.1||full	LZHE01000129.1||full	3347
LZHE01000133.1||full	LZHE01000133.1||full	23164
LZHE01000134.1||full	LZHE01000134.1||full	8385
LZHE01000151.1||full	LZHE01000151.1||full	4193
LZHF01000002.1||full	LZHF01000002.1||full	4266
LZHF01000006.1||full	LZHF01000006.1||full	1518
LZHF01000022.1||full	LZHF01000022.1||full	4229
LZHF01000029.1||full	LZHF01000029.1||full	8079
LZHG01000007.1||full	LZHG01000007.1||full	3910
LZHG01000055.1||full	LZHG01000055.1||full	2133
LZHH01000031.1||full	LZHH01000031.1||full	1459
LZHH01000063.1||full	LZHH01000063.1||full	15883
LZHH01000075.1||full	LZHH01000075.1||full	21309
LZHH01000079.1||full	LZHH01000079.1||full	6023
LZHH01000094.1||full	LZHH01000094.1||full	15610
LZHH01000112.1||full	LZHH01000112.1||full	4725
LZHI01000014.1||full	LZHI01000014.1||full	2653
QGLQ01000016.1||full	QGLQ01000016.1||full	1841
LZGX01000009.1||full	LZGX01000009.1||full	11042
LZGX01000020.1||full	LZGX01000020.1||full	4422
LZGX01000022.1||full	LZGX01000022.1||full	23514
LZGX01000030.1||full	LZGX01000030.1||full	9246
LZGX01000043.1||full	LZGX01000043.1||full	2521
LZGX01000052.1||full	LZGX01000052.1||full	2319
LZGX01000054.1||full	LZGX01000054.1||full	3273
LZGX01000063.1||full	LZGX01000063.1||full	16961
LZGX01000086.1||full	LZGX01000086.1||full	4287
LZGX01000089.1||full	LZGX01000089.1||full	6004
LZGY01000006.1||full	LZGY01000006.1||full	1424
LZGY01000088.1||full	LZGY01000088.1||full	4325
LZGY01000097.1||full	LZGY01000097.1||full	5557
LZGY01000099.1||full	LZGY01000099.1||full	4269
LZGY01000123.1||full	LZGY01000123.1||full	6698
LZGY01000179.1||full	LZGY01000179.1||full	3222
LZGZ01000001.1||full	LZGZ01000001.1||full	4367
LZGZ01000014.1||full	LZGZ01000014.1||full	3393
LZGZ01000056.1||full	LZGZ01000056.1||full	10220
LZGZ01000095.1||full	LZGZ01000095.1||full	1831
LZGZ01000128.1||full	LZGZ01000128.1||full	5495
LZGZ01000136.1||full	LZGZ01000136.1||full	2273
LZGZ01000143.1||full	LZGZ01000143.1||full	4125
LZGZ01000150.1||full	LZGZ01000150.1||full	15667
LZGZ01000157.1||full	LZGZ01000157.1||full	4345
LZGZ01000169.1||full	LZGZ01000169.1||full	9472
LZGZ01000187.1||full	LZGZ01000187.1||full	2612
LZGZ01000198.1||full	LZGZ01000198.1||full	30036
LZGZ01000261.1||full	LZGZ01000261.1||full	11347
LZGZ01000269.1||full	LZGZ01000269.1||full	8370
LZGZ01000277.1||full	LZGZ01000277.1||full	4449
LZGZ01000297.1||full	LZGZ01000297.1||full	7051
LZGZ01000306.1||full	LZGZ01000306.1||full	1929
LZGZ01000315.1||full	LZGZ01000315.1||full	4732
LZGZ01000327.1||full	LZGZ01000327.1||full	22534
LZGZ01000342.1||full	LZGZ01000342.1||full	6511
LZHJ01000002.1||full	LZHJ01000002.1||full	31772
LZHJ01000021.1||full	LZHJ01000021.1||full	1525
LZHJ01000025.1||full	LZHJ01000025.1||full	2904
LZHJ01000035.1||full	LZHJ01000035.1||full	2075
LZHJ01000037.1||full	LZHJ01000037.1||full	24091
LZHJ01000055.1||full	LZHJ01000055.1||full	8918
LZHJ01000057.1||full	LZHJ01000057.1||full	2076
LZHJ01000065.1||full	LZHJ01000065.1||full	2020
LZHJ01000083.1||full	LZHJ01000083.1||full	1714
LZHJ01000087.1||full	LZHJ01000087.1||full	4048
LZHJ01000128.1||full	LZHJ01000128.1||full	1428
LZHJ01000136.1||full	LZHJ01000136.1||full	5054
LZHJ01000147.1||full	LZHJ01000147.1||full	2526
LZHJ01000151.1||full	LZHJ01000151.1||full	49917
LZHA01000002.1||full	LZHA01000002.1||full	10793
LZHA01000008.1||full	LZHA01000008.1||full	2637
LZHA01000018.1||full	LZHA01000018.1||full	2490
LZHA01000025.1||full	LZHA01000025.1||full	1505
LZHA01000038.1||full	LZHA01000038.1||full	14032
LZHA01000039.1||full	LZHA01000039.1||full	4712
LZHA01000064.1||full	LZHA01000064.1||full	3234
LZHA01000072.1||full	LZHA01000072.1||full	2236
LZHB01000011.1||full	LZHB01000011.1||full	3467
LZHB01000052.1||full	LZHB01000052.1||full	1307
LZGV01000002.1||full	LZGV01000002.1||full	13171
LZGV01000014.1||full	LZGV01000014.1||full	6337
LZGV01000062.1||full	LZGV01000062.1||full	20794
LZGV01000063.1||full	LZGV01000063.1||full	3727
LZGV01000068.1||full	LZGV01000068.1||full	2629
LZGV01000069.1||full	LZGV01000069.1||full	5417
LZGV01000081.1||full	LZGV01000081.1||full	17233
LZGV01000110.1||full	LZGV01000110.1||full	5546
LZGV01000112.1||full	LZGV01000112.1||full	9846
LZGU01000001.1||full	LZGU01000001.1||full	8851
LZGU01000003.1||full	LZGU01000003.1||full	13536
LZGU01000027.1||full	LZGU01000027.1||full	2704
LZGU01000070.1||full	LZGU01000070.1||full	16192
LZGU01000093.1||full	LZGU01000093.1||full	5406
LZGU01000098.1||full	LZGU01000098.1||full	10289
LZGU01000122.1||full	LZGU01000122.1||full	23809
LZGU01000127.1||full	LZGU01000127.1||full	4108
LZGU01000128.1||full	LZGU01000128.1||full	2273
LZHK01000021.1||full	LZHK01000021.1||full	53692
LZHK01000039.1||full	LZHK01000039.1||full	5417
LZHK01000041.1||full	LZHK01000041.1||full	4274
LZHK01000048.1||full	LZHK01000048.1||full	31310
LZHK01000065.1||full	LZHK01000065.1||full	4091
LZHK01000093.1||full	LZHK01000093.1||full	3841
LZHK01000094.1||full	LZHK01000094.1||full	3728
LZHK01000106.1||full	LZHK01000106.1||full	5646
LZHK01000135.1||full	LZHK01000135.1||full	2617
LZHL01000015.1||full	LZHL01000015.1||full	37792
MCIU01000036.1||full	MCIU01000036.1||full	1866
NARV01000100.1||full	NARV01000100.1||full	6897
NARV01000117.1||full	NARV01000117.1||full	4716
NARV01000153.1||full	NARV01000153.1||full	2247
NARV01000062.1||full	NARV01000062.1||full	17190
NAHT01000101.1||full	NAHT01000101.1||full	1824
NAHT01000052.1||full	NAHT01000052.1||full	19574
NAHT01000078.1||full	NAHT01000078.1||full	6931
NAHX01000145.1||full	NAHX01000145.1||full	6931
NAHX01000121.1||full	NAHX01000121.1||full	4006
NAHX01000119.1||full	NAHX01000119.1||full	4212
NAHX01000115.1||full	NAHX01000115.1||full	2630
NAHX01000109.1||full	NAHX01000109.1||full	3507
NAHX01000108.1||full	NAHX01000108.1||full	3391
NAHX01000092.1||full	NAHX01000092.1||full	2060
NAHX01000087.1||full	NAHX01000087.1||full	1367
NAHX01000073.1||full	NAHX01000073.1||full	2248
NAHX01000176.1||full	NAHX01000176.1||full	11188
NARW01000044.1||full	NARW01000044.1||full	18987
NARW01000056.1||full	NARW01000056.1||full	5257
NARW01000062.1||full	NARW01000062.1||full	2371
NARW01000066.1||full	NARW01000066.1||full	2247
NASB01000027.1||full	NASB01000027.1||full	39155
NASB01000047.1||full	NASB01000047.1||full	13379
NASC01000102.1||full	NASC01000102.1||full	9184
NASC01000149.1||full	NASC01000149.1||full	4913
NASC01000157.1||full	NASC01000157.1||full	4254
NASC01000171.1||full	NASC01000171.1||full	3794
NASC01000175.1||full	NASC01000175.1||full	3549
NASC01000176.1||full	NASC01000176.1||full	3554
NASC01000188.1||full	NASC01000188.1||full	2936
NASC01000199.1||full	NASC01000199.1||full	2573
NASC01000216.1||full	NASC01000216.1||full	1694
NASC01000230.1||full	NASC01000230.1||full	930
NASC01000057.1||full	NASC01000057.1||full	14616
NASC01000076.1||full	NASC01000076.1||full	12607
NASC01000079.1||full	NASC01000079.1||full	10690
NARN01000055.1||full	NARN01000055.1||full	12932
NARN01000065.1||full	NARN01000065.1||full	7594
NARN01000073.1||full	NARN01000073.1||full	6045
NARN01000084.1||full	NARN01000084.1||full	3589
NARN01000096.1||full	NARN01000096.1||full	1792
NARN01000097.1||full	NARN01000097.1||full	1878
NARN01000098.1||full	NARN01000098.1||full	2247
NARZ01000046.1||full	NARZ01000046.1||full	17190
NARZ01000041.1||full	NARZ01000041.1||full	12935
NARZ01000035.1||full	NARZ01000035.1||full	6978
NARZ01000025.1||full	NARZ01000025.1||full	3832
NARZ01000021.1||full	NARZ01000021.1||full	2247
NAHW01000043.1||full	NAHW01000043.1||full	19574
NAHW01000044.1||full	NAHW01000044.1||full	18847
NAHW01000067.1||full	NAHW01000067.1||full	6931
NAHW01000083.1||full	NAHW01000083.1||full	1824
NAHU01000134.1||full	NAHU01000134.1||full	6065
NAHU01000136.1||full	NAHU01000136.1||full	6931
NAHU01000157.1||full	NAHU01000157.1||full	5670
NAHU01000170.1||full	NAHU01000170.1||full	4996
