phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
NARU01000240.1||full	NARU01000240.1	0.667	0.107	0.005	0.327	0.013	0.667	dsDNAphage	2504	0	50	33.3
NARU01000244.1||full	NARU01000244.1	0.587	0.173	0.08	0.953	0.473	0.953	NCLDV	2434	0	33.3	0
NARU01000250.1||full	NARU01000250.1	0.06	0.293	0.075	0.873	0.473	0.873	NCLDV	2175	0	50	0
NARU01000006.1||full	NARU01000006.1	0.873	0	0	0.067	0	0.873	dsDNAphage	38202	2	25.5	33.3
NARU01000069.1||full	NARU01000069.1	0.753	0	0	0.107	0.007	0.753	dsDNAphage	14431	2	25	50
NARU01000096.1||full	NARU01000096.1	0.927	0.047	0.005	0.14	0.06	0.927	dsDNAphage	11417	0	33.3	4.2
LZGR01000013.1||full	LZGR01000013.1	0.18	0	0.005	0.927	0.313	0.927	NCLDV	8531	0	37.5	12.5
LZGR01000021.1||full	LZGR01000021.1	0.88	0	0	0.887	0.213	0.887	NCLDV	12439	0	50	7.1
LZGS01000015.1||full	LZGS01000015.1	0.88	0.047	0.01	0.227	0.147	0.88	dsDNAphage	2972	1	50	25
LZGS01000040.1||full	LZGS01000040.1	0.853	0.033	0.025	0.227	0.413	0.853	dsDNAphage	9540	1	25	16.7
LZGS01000051.1||full	LZGS01000051.1	0.92	0.007	0.01	0.273	0.24	0.92	dsDNAphage	7033	1	27.3	9.1
LZGT01000018.1||full	LZGT01000018.1	0.147	0	0	0.64	0.04	0.64	NCLDV	6108	0	40	20
LZGT01000040.1||full	LZGT01000040.1	0.713	0	0.01	0.08	0.34	0.713	dsDNAphage	12310	1	27.3	18.2
LZGT01000043.1||full	LZGT01000043.1	0.813	0.08	0	0.12	0.027	0.813	dsDNAphage	3132	0	50	16.7
LZGT01000066.1||full	LZGT01000066.1	0.627	0.987	0.55	0.58	0.94	0.987	ssDNA	1870	0	33.3	0
LZGT01000076.1||full	LZGT01000076.1	0.473	0.133	0.225	0.52	0.66	0.66	lavidaviridae	1625	0	25	0
LZGT01000079.1||full	LZGT01000079.1	0.92	0.02	0	0.133	0.113	0.92	dsDNAphage	32606	10	56.2	28.1
LZGT01000084.1||full	LZGT01000084.1	0.533	0.14	0.335	0.593	0.72	0.72	lavidaviridae	2053	0	25	0
LZGT01000085.1||full	LZGT01000085.1	0.24	0.053	0.125	0.933	0.507	0.933	NCLDV	6068	0	25	0
MZNI01000033.1||full	MZNI01000033.1	0.873	0	0	0.26	0	0.873	dsDNAphage	33663	10	36.4	24.2
MZNI01000055.1||full	MZNI01000055.1	0.247	0.007	0.015	0.7	0.32	0.7	NCLDV	16372	0	21.4	0
MZNI01000057.1||full	MZNI01000057.1	0.993	0.02	0	0.107	0.02	0.993	dsDNAphage	13482	6	50	13.6
MZNI01000007.1||full	MZNI01000007.1	0.953	0	0	0.14	0.007	0.953	dsDNAphage	72434	16	45.8	21.7
MZNI01000086.1||full	MZNI01000086.1	0.613	0.353	0.12	0.7	0.86	0.86	lavidaviridae	3355	0	66.7	0
MZNI01000090.1||full	MZNI01000090.1	0.24	0.573	0.125	0.94	0.973	0.973	lavidaviridae	1956	0	50	0
LZHC01000008.1||full	LZHC01000008.1	0.827	0.907	0.17	0.82	0.653	0.907	ssDNA	3542	0	57.1	0
LZHC01000019.1||full	LZHC01000019.1	0.847	0.933	0.14	0.767	0.973	0.973	lavidaviridae	1920	0	50	0
LZHC01000031.1||full	LZHC01000031.1	0.867	0	0	0.393	0.393	0.867	dsDNAphage	11409	2	28.6	14.3
LZHC01000042.1||full	LZHC01000042.1	0.227	0.08	0.46	0.667	0.16	0.667	NCLDV	2491	0	33.3	0
LZHC01000043.1||full	LZHC01000043.1	0.2	0.127	0.105	0.567	0.307	0.567	NCLDV	2138	0	33.3	0
LZHC01000052.1||full	LZHC01000052.1	0.413	0.94	0.345	0.607	0.92	0.94	ssDNA	1604	0	33.3	0
LZHC01000055.1||full	LZHC01000055.1	0.393	0.973	0.28	1	0.847	1	NCLDV	2135	0	66.7	0
LZHC01000066.1||full	LZHC01000066.1	0.947	0.787	0.125	0.853	0.32	0.947	dsDNAphage	3583	0	55.6	0
LZHD01000008.1||full	LZHD01000008.1	1	0.153	0.075	0.607	0.133	1	dsDNAphage	4786	1	50	0
LZHD01000047.1||full	LZHD01000047.1	0.953	0	0	0.06	0.007	0.953	dsDNAphage	71901	18	37.2	16
LZHD01000054.1||full	LZHD01000054.1	0.92	0	0	0.04	0.013	0.92	dsDNAphage	73567	19	35.8	30.5
LZHD01000064.1||full	LZHD01000064.1	0.133	0.013	0	0.867	0.047	0.867	NCLDV	3821	0	33.3	16.7
LZHD01000082.1||full	LZHD01000082.1	0.98	0	0	0.1	0.007	0.98	dsDNAphage	56139	12	41.6	14.3
LZHD01000086.1||full	LZHD01000086.1	0.107	0.02	0	0.84	0.167	0.84	NCLDV	6980	0	50	33.3
LZHD01000103.1||full	LZHD01000103.1	0.867	0	0	0.013	0.007	0.867	dsDNAphage	110438	16	30.3	31.1
LZHE01000011.1||full	LZHE01000011.1	1	0.807	0.05	0.493	0.14	1	dsDNAphage	4244	1	44.4	0
LZHE01000016.1||full	LZHE01000016.1	1	0.107	0.005	0.447	0.127	1	dsDNAphage	27535	17	66.7	0
LZHE01000051.1||full	LZHE01000051.1	0.993	0.007	0.005	0.06	0.04	0.993	dsDNAphage	16556	1	38.2	8.8
LZHE01000059.1||full	LZHE01000059.1	0.753	0.187	0.01	0.82	0.027	0.82	NCLDV	2605	0	60	20
LZHE01000063.1||full	LZHE01000063.1	0.9	0	0	0.02	0	0.9	dsDNAphage	86628	11	30.3	27.5
LZHE01000079.1||full	LZHE01000079.1	0.34	0	0	0.547	0.22	0.547	NCLDV	12759	0	28.6	9.5
LZHE01000091.1||full	LZHE01000091.1	0.953	0	0	0.14	0.02	0.953	dsDNAphage	51710	16	49.3	19.7
LZHE01000113.1||full	LZHE01000113.1	0.393	0.86	0.08	0.5	0.107	0.86	ssDNA	1548	0	25	0
LZHE01000129.1||full	LZHE01000129.1	0.24	0.007	0	0.773	0.14	0.773	NCLDV	3347	0	60	20
LZHE01000133.1||full	LZHE01000133.1	0.947	0.1	0	0.133	0.4	0.947	dsDNAphage	23164	19	74.2	19.4
LZHE01000134.1||full	LZHE01000134.1	0.98	0	0	0.2	0.013	0.98	dsDNAphage	8385	1	46.7	13.3
LZHE01000151.1||full	LZHE01000151.1	0.84	0.027	0.06	0.687	0.287	0.84	dsDNAphage	4193	1	28.6	0
LZHF01000002.1||full	LZHF01000002.1	0.96	0.607	0.425	0.573	0.8	0.96	dsDNAphage	4266	1	40	0
LZHF01000006.1||full	LZHF01000006.1	0.353	0.667	0.11	0.587	0.787	0.787	lavidaviridae	1518	0	25	0
LZHF01000022.1||full	LZHF01000022.1	0.753	0.347	0.23	0.36	0.607	0.753	dsDNAphage	4229	0	12.5	0
LZHF01000029.1||full	LZHF01000029.1	0.74	0	0.01	0.267	0.133	0.74	dsDNAphage	8079	2	22.2	22.2
LZHF01000045.1||full	LZHF01000045.1	0.913	0.007	0	0.093	0.133	0.913	dsDNAphage	44171	19	49.2	16.9
LZHG01000007.1||full	LZHG01000007.1	0.82	0.38	0.225	0.36	0.527	0.82	dsDNAphage	3910	0	11.1	0
LZHG01000033.1||full	LZHG01000033.1	0.933	0.007	0	0.047	0.013	0.933	dsDNAphage	159375	26	42.4	24.6
LZHG01000055.1||full	LZHG01000055.1	0.993	0.967	0.23	0.607	0.68	0.993	dsDNAphage	2133	2	100	0
LZHG01000058.1||full	LZHG01000058.1	0.687	0.007	0.005	0.28	0.22	0.687	dsDNAphage	9746	2	22.2	22.2
LZHH01000031.1||full	LZHH01000031.1	0.68	0.333	0.02	0.32	0.287	0.68	dsDNAphage	1459	0	80	20
LZHH01000054.1||full	LZHH01000054.1	0.887	0	0	0.067	0.007	0.887	dsDNAphage	93832	13	34.3	32.4
LZHH01000063.1||full	LZHH01000063.1	0.993	0.053	0.005	0.073	0.033	0.993	dsDNAphage	15883	1	39.5	5.3
LZHH01000075.1||full	LZHH01000075.1	1	0.04	0	0.273	0.087	1	dsDNAphage	21309	8	69	6.9
LZHH01000079.1||full	LZHH01000079.1	0.7	0.02	0.005	0.213	0.033	0.7	dsDNAphage	6023	2	27.3	36.4
LZHH01000094.1||full	LZHH01000094.1	0.947	0	0	0.013	0.007	0.947	dsDNAphage	15610	2	18.2	9.1
LZHH01000112.1||full	LZHH01000112.1	0.88	0.793	0.475	0.26	0.673	0.88	dsDNAphage	4725	0	25	0
LZHI01000014.1||full	LZHI01000014.1	0.967	0.613	0.4	0.993	0.82	0.993	NCLDV	2653	0	33.3	0
QGLQ01000016.1||full	QGLQ01000016.1	0.88	0.02	0.01	0.487	0.167	0.88	dsDNAphage	1841	2	66.7	33.3
LZGX01000009.1||full	LZGX01000009.1	0.993	0.04	0.005	0.313	0.04	0.993	dsDNAphage	11042	9	81.2	6.2
LZGX01000020.1||full	LZGX01000020.1	0.34	0.287	0.525	0.707	0.767	0.767	lavidaviridae	4422	0	20	0
LZGX01000022.1||full	LZGX01000022.1	0.913	0.093	0	0.167	0.4	0.913	dsDNAphage	23514	20	75	15.6
LZGX01000030.1||full	LZGX01000030.1	0.68	0.367	0.58	0.693	0.9	0.9	lavidaviridae	9246	0	33.3	0
LZGX01000043.1||full	LZGX01000043.1	0.78	0.013	0.01	0.093	0.06	0.78	dsDNAphage	2521	1	40	20
LZGX01000052.1||full	LZGX01000052.1	0.867	0.28	0.16	0.54	0.253	0.867	dsDNAphage	2319	0	60	0
LZGX01000054.1||full	LZGX01000054.1	0.46	0.1	0.35	0.7	0.84	0.84	lavidaviridae	3273	0	25	0
LZGX01000063.1||full	LZGX01000063.1	0.7	0	0	0.113	0.047	0.7	dsDNAphage	16961	0	46.4	10.7
LZGX01000084.1||full	LZGX01000084.1	0.933	0.027	0.005	0.193	0.127	0.933	dsDNAphage	9957	5	55.6	11.1
LZGX01000086.1||full	LZGX01000086.1	0.76	0.72	0.09	0.98	0.993	0.993	lavidaviridae	4287	0	75	0
LZGX01000089.1||full	LZGX01000089.1	0.893	0.027	0	0.36	0.073	0.893	dsDNAphage	6004	2	50	25
LZGX01000107.1||full	LZGX01000107.1	0.993	0.02	0	0.087	0.053	0.993	dsDNAphage	33333	10	70	6.7
LZGY01000006.1||full	LZGY01000006.1	0.64	0.767	0.48	0.293	0.587	0.767	ssDNA	1424	0	33.3	0
LZGY01000061.1||full	LZGY01000061.1	0.96	0	0	0.113	0.013	0.96	dsDNAphage	63941	14	51.4	18.6
LZGY01000088.1||full	LZGY01000088.1	0.273	0.1	0.2	0.553	0.1	0.553	NCLDV	4325	0	33.3	0
LZGY01000097.1||full	LZGY01000097.1	0.7	0.46	0.065	0.34	0.347	0.7	dsDNAphage	5557	0	22.2	0
LZGY01000099.1||full	LZGY01000099.1	0.16	0	0.01	0.527	0.02	0.527	NCLDV	4269	0	16.7	0
LZGY01000118.1||full	LZGY01000118.1	0.507	0.34	0.105	0.933	0.627	0.933	NCLDV	3309	0	66.7	0
LZGY01000123.1||full	LZGY01000123.1	0.26	0.153	0.125	0.12	0.767	0.767	lavidaviridae	6698	0	12.5	0
LZGY01000179.1||full	LZGY01000179.1	0.193	0.027	0.12	0.627	0.2	0.627	NCLDV	3222	0	25	0
LZGZ01000001.1||full	LZGZ01000001.1	0.387	0.053	0.075	0.853	0.967	0.967	lavidaviridae	4367	0	40	0
LZGZ01000014.1||full	LZGZ01000014.1	0.62	0.813	0.41	0.7	0.827	0.827	lavidaviridae	3393	0	66.7	0
LZGZ01000056.1||full	LZGZ01000056.1	0.147	0	0	0.913	0.267	0.913	NCLDV	10220	0	37.5	12.5
LZGZ01000081.1||full	LZGZ01000081.1	0.98	0.02	0	0.133	0.027	0.98	dsDNAphage	28991	13	76.5	14.7
LZGZ01000095.1||full	LZGZ01000095.1	0.833	0.413	0.34	0.787	0.213	0.833	dsDNAphage	1831	0	25	0
LZGZ01000128.1||full	LZGZ01000128.1	0.1	0	0.07	0.593	0.22	0.593	NCLDV	5495	0	16.7	0
LZGZ01000136.1||full	LZGZ01000136.1	0.973	0.333	0.065	0.58	0.147	0.973	dsDNAphage	2273	1	75	0
LZGZ01000143.1||full	LZGZ01000143.1	0.187	0.347	0.235	0.847	0.94	0.94	lavidaviridae	4125	0	33.3	0
LZGZ01000150.1||full	LZGZ01000150.1	1	0.033	0.005	0.107	0.06	1	dsDNAphage	15667	10	75	10
LZGZ01000157.1||full	LZGZ01000157.1	0.153	0.053	0.145	0.78	0.22	0.78	NCLDV	4345	0	33.3	0
LZGZ01000169.1||full	LZGZ01000169.1	0.933	0.02	0	0.267	0.02	0.933	dsDNAphage	9472	0	47.1	5.9
LZGZ01000187.1||full	LZGZ01000187.1	0.473	0.147	0.02	0.787	0.127	0.787	NCLDV	2612	0	50	0
LZGZ01000198.1||full	LZGZ01000198.1	0.96	0.007	0	0.007	0.02	0.96	dsDNAphage	30036	13	51.1	26.7
LZGZ01000261.1||full	LZGZ01000261.1	0.967	0.013	0	0.44	0.413	0.967	dsDNAphage	11347	5	42.9	7.1
LZGZ01000269.1||full	LZGZ01000269.1	0.113	0	0.04	0.56	0.4	0.56	NCLDV	8370	0	11.1	0
LZGZ01000277.1||full	LZGZ01000277.1	1	0.94	0.495	0.447	0.74	1	dsDNAphage	4449	1	37.5	0
LZGZ01000297.1||full	LZGZ01000297.1	0.14	0.007	0.05	0.607	0.3	0.607	NCLDV	7051	0	20	0
LZGZ01000306.1||full	LZGZ01000306.1	0.6	0.353	0.35	0.933	0.413	0.933	NCLDV	1929	0	50	0
LZGZ01000314.1||full	LZGZ01000314.1	0.587	0.367	0.085	0.853	0.873	0.873	lavidaviridae	3357	0	66.7	0
LZGZ01000315.1||full	LZGZ01000315.1	0.847	0.76	0.35	0.607	0.92	0.92	lavidaviridae	4732	0	66.7	0
LZGZ01000327.1||full	LZGZ01000327.1	1	0.047	0	0.213	0.193	1	dsDNAphage	22534	7	60.5	4.7
LZGZ01000342.1||full	LZGZ01000342.1	0.853	0.013	0.025	0.32	0.087	0.853	dsDNAphage	6511	1	40	20
LZHJ01000002.1||full	LZHJ01000002.1	0.993	0.02	0	0.06	0.02	0.993	dsDNAphage	31772	12	71.4	7.1
LZHJ01000021.1||full	LZHJ01000021.1	0.473	0.113	0.31	0.98	0.827	0.98	NCLDV	1525	0	33.3	0
LZHJ01000025.1||full	LZHJ01000025.1	0.66	0.793	0.06	0.987	0.873	0.987	NCLDV	2904	0	66.7	0
LZHJ01000035.1||full	LZHJ01000035.1	0.767	0.973	0.145	0.867	0.393	0.973	ssDNA	2075	0	50	0
LZHJ01000037.1||full	LZHJ01000037.1	0.033	0	0	0.753	0.04	0.753	NCLDV	24091	0	36.4	13.6
LZHJ01000055.1||full	LZHJ01000055.1	0.113	0	0.025	0.72	0.113	0.72	NCLDV	8918	0	11.1	0
LZHJ01000057.1||full	LZHJ01000057.1	0.6	0.873	0.23	0.953	0.84	0.953	NCLDV	2076	0	40	0
LZHJ01000065.1||full	LZHJ01000065.1	0.74	0.2	0.02	0.207	0.04	0.74	dsDNAphage	2020	0	60	20
LZHJ01000083.1||full	LZHJ01000083.1	0.827	0.98	0.315	0.653	0.92	0.98	ssDNA	1714	0	50	0
LZHJ01000087.1||full	LZHJ01000087.1	0.42	0.62	0.18	0.847	0.92	0.92	lavidaviridae	4048	0	60	0
LZHJ01000108.1||full	LZHJ01000108.1	0.98	0	0	0.067	0.04	0.98	dsDNAphage	35134	16	51.3	20.5
LZHJ01000128.1||full	LZHJ01000128.1	0.713	0.953	0.51	0.38	0.64	0.953	ssDNA	1428	0	33.3	0
LZHJ01000136.1||full	LZHJ01000136.1	0.193	0.007	0	1	0.313	1	NCLDV	5054	0	37.5	12.5
LZHJ01000147.1||full	LZHJ01000147.1	0.28	0.2	0.34	0.953	0.407	0.953	NCLDV	2526	0	50	0
LZHJ01000151.1||full	LZHJ01000151.1	1	0	0	0.133	0.02	1	dsDNAphage	49917	14	54.2	2.8
LZHA01000002.1||full	LZHA01000002.1	0.673	0.02	0	0.14	0.013	0.673	dsDNAphage	10793	0	35	15
LZHA01000008.1||full	LZHA01000008.1	0.933	0.947	0.15	0.287	0.227	0.947	ssDNA	2637	0	50	0
LZHA01000009.1||full	LZHA01000009.1	0.84	0	0	0	0	0.84	dsDNAphage	76702	15	27.8	28.9
LZHA01000018.1||full	LZHA01000018.1	0.92	0.987	0.205	0.553	0.093	0.987	ssDNA	2490	0	28.6	0
LZHA01000025.1||full	LZHA01000025.1	0.993	1	0.245	0.567	0.36	1	ssDNA	1505	0	100	0
LZHA01000038.1||full	LZHA01000038.1	0.993	0.067	0	0.02	0.067	0.993	dsDNAphage	14032	1	51.7	10.3
LZHA01000039.1||full	LZHA01000039.1	0.947	0.52	0.14	0.567	0.167	0.947	dsDNAphage	4712	0	33.3	0
LZHA01000058.1||full	LZHA01000058.1	0.82	0	0	0.113	0	0.82	dsDNAphage	81386	12	31.8	37.5
LZHA01000064.1||full	LZHA01000064.1	0.98	0.92	0.095	0.427	0.64	0.98	dsDNAphage	3234	0	71.4	0
LZHA01000072.1||full	LZHA01000072.1	0.333	0.18	0.245	0.993	0.927	0.993	NCLDV	2236	0	50	0
LZHB01000011.1||full	LZHB01000011.1	0.213	0.007	0	0.74	0.14	0.74	NCLDV	3467	0	60	20
LZHB01000040.1||full	LZHB01000040.1	0.993	0.007	0	0.067	0.033	0.993	dsDNAphage	58579	18	47.7	7
LZHB01000041.1||full	LZHB01000041.1	0.86	0.007	0	0.067	0.1	0.86	dsDNAphage	58089	19	45.9	25.7
LZHB01000052.1||full	LZHB01000052.1	0.447	0.913	0.29	0.453	0.927	0.927	lavidaviridae	1307	0	50	0
LZHB01000061.1||full	LZHB01000061.1	0.873	0.007	0	0.02	0	0.873	dsDNAphage	98214	16	33.3	30.6
LZHB01000075.1||full	LZHB01000075.1	0.967	0	0	0.093	0.007	0.967	dsDNAphage	55627	12	42.1	14.5
LZGV01000002.1||full	LZGV01000002.1	0.987	0.187	0.255	0.233	0.453	0.987	dsDNAphage	13171	1	25	0
LZGV01000014.1||full	LZGV01000014.1	0.407	0.047	0.055	0.733	0.847	0.847	lavidaviridae	6337	0	42.9	0
LZGV01000021.1||full	LZGV01000021.1	0.947	0.007	0	0.227	0.007	0.947	dsDNAphage	78914	14	44.7	25
LZGV01000045.1||full	LZGV01000045.1	0.96	0	0	0.033	0.013	0.96	dsDNAphage	40495	9	54.9	21.6
LZGV01000062.1||full	LZGV01000062.1	0.06	0	0	0.553	0	0.553	NCLDV	20794	0	20	15
LZGV01000063.1||full	LZGV01000063.1	0.26	0.367	0.105	0.427	0.787	0.787	lavidaviridae	3727	0	25	0
LZGV01000068.1||full	LZGV01000068.1	0.973	0.033	0	0.12	0.02	0.973	dsDNAphage	2629	1	40	20
LZGV01000069.1||full	LZGV01000069.1	0.973	0.593	0.525	0.467	0.787	0.973	dsDNAphage	5417	1	25	0
LZGV01000081.1||full	LZGV01000081.1	0.987	0.013	0	0.06	0.067	0.987	dsDNAphage	17233	8	57.1	14.3
LZGV01000097.1||full	LZGV01000097.1	0.933	0	0	0	0	0.933	dsDNAphage	61991	10	29.9	32.5
LZGV01000110.1||full	LZGV01000110.1	1	0.173	0.335	0.18	0.427	1	dsDNAphage	5546	1	16.7	0
LZGV01000112.1||full	LZGV01000112.1	0.933	0.007	0.14	0.347	0.053	0.933	dsDNAphage	9846	1	15.4	0
LZGU01000001.1||full	LZGU01000001.1	0.887	0	0.01	0.173	0.16	0.887	dsDNAphage	8851	1	27.3	9.1
LZGU01000003.1||full	LZGU01000003.1	0.98	0.007	0.015	0.067	0.14	0.98	dsDNAphage	13536	1	23.5	5.9
LZGU01000027.1||full	LZGU01000027.1	0.973	0.04	0	0.113	0.02	0.973	dsDNAphage	2704	1	40	20
LZGU01000046.1||full	LZGU01000046.1	0.933	0	0	0.013	0	0.933	dsDNAphage	58581	10	28.8	32.9
LZGU01000065.1||full	LZGU01000065.1	0.947	0	0	0.253	0.007	0.947	dsDNAphage	65423	14	50	19.1
LZGU01000070.1||full	LZGU01000070.1	1	0.02	0.005	0.26	0.1	1	dsDNAphage	16192	8	61.1	11.1
LZGU01000093.1||full	LZGU01000093.1	0.553	0.26	0.205	0.227	0.7	0.7	lavidaviridae	5406	0	14.3	0
LZGU01000098.1||full	LZGU01000098.1	0.767	0.22	0.66	0.88	0.967	0.967	lavidaviridae	10289	0	28.6	0
LZGU01000120.1||full	LZGU01000120.1	1	0.007	0	0.04	0.027	1	dsDNAphage	45878	10	44.2	7.7
LZGU01000122.1||full	LZGU01000122.1	1	0.02	0	0.207	0.06	1	dsDNAphage	23809	9	67.6	11.8
LZGU01000127.1||full	LZGU01000127.1	0.247	0.06	0.045	0.713	0.793	0.793	lavidaviridae	4108	0	33.3	0
LZGU01000128.1||full	LZGU01000128.1	0.98	0.693	0.1	0.3	0.187	0.98	dsDNAphage	2273	1	33.3	0
LZHK01000021.1||full	LZHK01000021.1	1	0	0	0.067	0.013	1	dsDNAphage	53692	17	51.9	7.8
LZHK01000039.1||full	LZHK01000039.1	0.873	0.033	0.005	0.147	0.047	0.873	dsDNAphage	5417	0	50	10
LZHK01000041.1||full	LZHK01000041.1	0.48	0.02	0.005	0.287	0.573	0.573	lavidaviridae	4274	0	37.5	12.5
LZHK01000048.1||full	LZHK01000048.1	0.553	0	0	0.113	0.02	0.553	dsDNAphage	31310	2	30	50
LZHK01000065.1||full	LZHK01000065.1	0.86	0.073	0.055	0.993	0.32	0.993	NCLDV	4091	1	50	0
LZHK01000093.1||full	LZHK01000093.1	0.373	0.073	0.07	0.847	0.34	0.847	NCLDV	3841	0	50	0
LZHK01000094.1||full	LZHK01000094.1	0.4	0.687	0.19	0.393	0.953	0.953	lavidaviridae	3728	0	50	0
LZHK01000106.1||full	LZHK01000106.1	0.413	0.193	0.405	0.913	0.973	0.973	lavidaviridae	5646	0	25	0
LZHK01000110.1||full	LZHK01000110.1	0.127	0.007	0	0.593	0.24	0.593	NCLDV	7025	0	42.9	28.6
LZHK01000135.1||full	LZHK01000135.1	0.793	0.78	0.03	0.98	0.42	0.98	NCLDV	2617	0	75	0
LZHL01000015.1||full	LZHL01000015.1	1	0.007	0	0.127	0.013	1	dsDNAphage	37792	10	55.4	3.1
MCIU01000036.1||full	MCIU01000036.1	0.96	0.707	0.09	0.187	0.24	0.96	dsDNAphage	1866	0	83.3	0
NARV01000100.1||full	NARV01000100.1	0.227	0.033	0.01	0.653	0.32	0.653	NCLDV	6897	0	60	20
NARV01000117.1||full	NARV01000117.1	0.487	0.153	0.135	0.507	0.387	0.507	NCLDV	4716	0	50	0
NARV01000153.1||full	NARV01000153.1	0.82	0.933	0.38	0.307	0.1	0.933	ssDNA	2247	0	20	0
NARV01000002.1||full	NARV01000002.1	0.907	0	0	0.06	0.013	0.907	dsDNAphage	104411	11	35.3	22.7
NARV01000043.1||full	NARV01000043.1	0.94	0.013	0	0.627	0.02	0.94	dsDNAphage	22422	9	47.8	13
NARV01000062.1||full	NARV01000062.1	0.993	0.033	0	0.167	0.687	0.993	dsDNAphage	17190	9	58.3	12.5
NAHT01000101.1||full	NAHT01000101.1	0.54	0.967	0.24	0.507	0.887	0.967	ssDNA	1824	0	100	0
NAHT01000036.1||full	NAHT01000036.1	0.933	0	0	0.367	0.013	0.933	dsDNAphage	30056	4	43.8	18.8
NAHT01000052.1||full	NAHT01000052.1	0.813	0	0	0.12	0.007	0.813	dsDNAphage	19574	2	16	16
NAHT01000078.1||full	NAHT01000078.1	0.487	0.313	0.06	0.347	0.887	0.887	lavidaviridae	6931	0	16.7	0
NAHX01000145.1||full	NAHX01000145.1	0.487	0.313	0.06	0.347	0.887	0.887	lavidaviridae	6931	0	16.7	0
NAHX01000121.1||full	NAHX01000121.1	0.76	0.293	0.64	0.14	0.733	0.76	dsDNAphage	4006	0	25	0
NAHX01000119.1||full	NAHX01000119.1	0.58	0.32	0.05	0.827	0.533	0.827	NCLDV	4212	0	50	0
NAHX01000115.1||full	NAHX01000115.1	0.867	0.893	0.13	0.62	0.96	0.96	lavidaviridae	2630	0	100	0
NAHX01000109.1||full	NAHX01000109.1	0.947	0.8	0.4	0.56	0.88	0.947	dsDNAphage	3507	2	66.7	0
NAHX01000108.1||full	NAHX01000108.1	0.32	0.027	0.01	0.24	0.52	0.52	lavidaviridae	3391	0	33.3	16.7
NAHX01000092.1||full	NAHX01000092.1	0.66	0.113	0	0.227	0.02	0.66	dsDNAphage	2060	0	60	40
NAHX01000087.1||full	NAHX01000087.1	0.6	0.9	0.38	nan	0.693	0.9	ssDNA	1367	0	33.3	0
NAHX01000073.1||full	NAHX01000073.1	0.267	0.42	0.19	0.733	0.673	0.733	NCLDV	2248	0	50	0
NAHX01000216.1||full	NAHX01000216.1	0.8	0	0	0.46	0.007	0.8	dsDNAphage	19317	4	27.8	16.7
NAHX01000176.1||full	NAHX01000176.1	0.027	0	0	0.687	0.12	0.687	NCLDV	11188	0	27.3	18.2
NARW01000003.1||full	NARW01000003.1	0.893	0	0	0.053	0	0.893	dsDNAphage	121616	11	32	28.1
NARW01000033.1||full	NARW01000033.1	0.82	0	0	0.213	0	0.82	dsDNAphage	28563	6	25.8	29
NARW01000044.1||full	NARW01000044.1	0.98	0.02	0	0.227	0.04	0.98	dsDNAphage	18987	9	53.8	11.5
NARW01000056.1||full	NARW01000056.1	0.487	0.073	0.01	0.407	0.553	0.553	lavidaviridae	5257	0	50	25
NARW01000062.1||full	NARW01000062.1	0.247	0.067	0.095	0.9	0.267	0.9	NCLDV	2371	0	33.3	0
NARW01000066.1||full	NARW01000066.1	0.827	0.933	0.355	0.307	0.1	0.933	ssDNA	2247	0	20	0
NASB01000027.1||full	NASB01000027.1	0.993	0.04	0	0.113	0.027	0.993	dsDNAphage	39155	11	57.8	7.8
NASB01000046.1||full	NASB01000046.1	0.733	0	0	0.493	0.053	0.733	dsDNAphage	15224	2	30	20
NASB01000047.1||full	NASB01000047.1	0.86	0.007	0	0.113	0.027	0.86	dsDNAphage	13379	1	30.4	17.4
NASC01000102.1||full	NASC01000102.1	1	0.08	0	0.1	0.053	1	dsDNAphage	9184	1	52.6	5.3
NASC01000111.1||full	NASC01000111.1	0.093	0	0	0.653	0.087	0.653	NCLDV	7446	0	28.6	0
NASC01000149.1||full	NASC01000149.1	0.067	0.007	0.04	0.893	0.24	0.893	NCLDV	4913	0	20	0
NASC01000157.1||full	NASC01000157.1	0.1	0.093	0.075	0.987	0.167	0.987	NCLDV	4254	0	25	0
NASC01000171.1||full	NASC01000171.1	0.467	0.027	0.02	0.647	0.613	0.647	NCLDV	3794	0	28.6	14.3
NASC01000175.1||full	NASC01000175.1	0.2	0.047	0.255	0.693	0.153	0.693	NCLDV	3549	0	25	0
NASC01000176.1||full	NASC01000176.1	0.787	0.547	0.135	0.76	0.227	0.787	dsDNAphage	3554	0	100	0
NASC01000188.1||full	NASC01000188.1	0.173	0.113	0.2	0.66	0.187	0.66	NCLDV	2936	0	33.3	0
NASC01000199.1||full	NASC01000199.1	0.5	0.74	0.03	0.9	0.32	0.9	NCLDV	2573	0	40	0
NASC01000216.1||full	NASC01000216.1	0.907	0.993	0.17	0.76	0.967	0.993	ssDNA	1694	0	100	0
NASC01000230.1||full	NASC01000230.1	0.507	0.767	0.23	nan	0.833	0.833	lavidaviridae	930	0	50	0
NASC01000057.1||full	NASC01000057.1	1	0.267	0.1	0.593	0.9	1	dsDNAphage	14616	9	68.4	0
NASC01000076.1||full	NASC01000076.1	0.173	0.047	0.2	0.527	0.413	0.527	NCLDV	12607	0	25	0
