protein	nogbit	nogcat	nogdomain	nogevalue	noghit	nogname
AP018524.1||0_partial_1__00030	503	S	Bacteria	6.60E-151	2Z88Q	phage minor capsid protein
AP018524.1||0_partial_1__00031	217.8	S	Virus	2.40E-64	4QGV9	Pfam:Terminase_3C
AP018524.1||0_partial_1__00032	191.5	S	Virus	2.30E-56	4QGV9	Pfam:Terminase_3C
AP018524.1||0_partial_1__00033	119.6	S	Virus	1.60E-34	4QGV9	Pfam:Terminase_3C
AP018524.1||0_partial_1__00034	98.2	S	Virus	6.60E-28	4QB6U	Terminase small subunit
AP018524.1||0_partial_1__00035	20	M	Bacteria	0.00038	32ITQ	unknown
AP018524.1||0_partial_1__00036	137.3	S	Bacteria	3.20E-40	32YZ1	unknown
AP018524.1||0_partial_1__00037	127.9	S	Bacteria	3.30E-37	33670	unknown
AP018524.1||0_partial_1__00039	21.1	S	Bacteria	0.00017	30BXX	unknown
AP018524.1||0_partial_1__00040	333.9	S	Virus	4.70E-100	4QHMG	
AP018524.1||0_partial_1__00041	168.8	S	Virus	5.50E-50	4QFH5	
AP018524.1||0_partial_1__00042	107.9	S	Virus	5.00E-31	4QB0C	Endodeoxyribonuclease RusA
AP018524.1||0_partial_1__00043	46.6	S	Virus	3.80E-12	4QAU9	Single-strand binding protein family
AP018524.1||0_partial_1__00044	82.9	S	Virus	2.50E-23	4QAU9	Single-strand binding protein family
AP018524.1||0_partial_1__00046	199.1	S	Bacteria	1.10E-58	32758	Phage replisome organizer
AP018524.1||0_partial_1__00047	248.1	S	Bacteria	7.20E-74	32SWP	Putative HNHc nuclease
AP018524.1||0_partial_1__00048	111.8	S	Virus	4.30E-32	4QBP3	PDDEXK-like domain of unknown function (DUF3799)
AP018524.1||0_partial_1__00049	131.6	L	Bacteria	2.70E-38	COG3723	"Recombinational DNA repair protein, rece pathway"
AP018524.1||0_partial_1__00050	20.8	S	Bacteria	0.00038	3068Y	unknown
AP018524.1||0_partial_1__00052	58.4	S	Bacteria	4.60E-16	32A6S	unknown
AP018524.1||0_partial_1__00054	175	S	Bacteria	2.50E-51	COG3645	SOS response
AP018524.1||0_partial_1__00055	48.8	K	Bacteria	5.90E-13	3251R	Helix-turn-helix domain
AP018524.1||0_partial_1__00056	82	K	Bacteria	6.40E-23	COG2932	Transcriptional regulator
AP018524.1||0_partial_1__00057	135.6	S	Virus	2.10E-39	4QAMB	CD20-like family
AP018524.1||0_partial_1__00058	114	S	Bacteria	4.40E-33	32P5I	unknown
AP018524.1||0_partial_1__00059	209.8	S	Virus	7.10E-62	4QBIH	recombinase activity
AP018524.1||0_partial_1__00060	57	S	Virus	1.50E-15	4QBIH	recombinase activity
AP018524.1||0_partial_1__00062	54.8	S	Virus	6.90E-15	4QBIH	recombinase activity
AP018524.1||0_partial_1__00063	164.8	U	Bacteria	3.40E-48	COG1459	type II secretion system
AP018524.1||0_partial_1__00064	227.9	NU	Bacteria	2.20E-67	COG2804	"Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB"
AP018524.1||0_partial_1__00066	257.6	S	Eukarya	1.20E-76	2SNHE	Zinc-uptake complex component A periplasmic
AP018524.1||0_partial_1__00067	317.9	P	Bacteria	1.00E-94	COG1108	ABC-type Mn2 Zn2 transport systems permease components
AP018524.1||0_partial_1__00068	179	P	Bacteria	1.90E-52	COG1121	(ABC) transporter
AP018524.1||0_partial_1__00069	208.2	K	Bacteria	1.80E-61	COG1316	TRANSCRIPTIONal
AP018524.1||0_partial_1__00070	847.8	J	Eukarya	7.10E-255	KOG0462	GTPase activity
AP018524.1||0_partial_1__00071	251.1	S	Bacteria	2.10E-74	COG4552	Acetyltransferase involved in intracellular survival and related
AP018524.1||0_partial_1__00072	111.4	S	Bacteria	1.60E-32	32KTQ	unknown
AP018524.1||0_partial_1__00073	272.1	G	Eukarya	7.90E-81	2SE6B	MFS/sugar transport protein
AP018524.1||0_partial_1__00074	440.7	G	Bacteria	1.20E-131	COG1312	Catalyzes the dehydration of D-mannonate
AP018524.1||0_partial_1__00075	319.4	G	Bacteria	3.50E-95	COG0246	Mannitol dehydrogenase
AP018524.1||0_partial_1__00076	139.6	S	Bacteria	1.40E-40	COG1284	"Uncharacterised 5xTM membrane BCR, YitT family COG1284"
AP018524.1||0_partial_1__00077	203.2	S	Virus	6.20E-60	4QCGD	Bacteriophage peptidoglycan hydrolase
AP018524.1||0_partial_1__00078	86.1	S	Bacteria	1.10E-24	33DW0	Putative phage holin Dp-1
AP018524.1||0_partial_1__00079	109	S	Bacteria	8.00E-32	307RS	BhlA holin family
AP018524.1||0_partial_1__00081	66.7	S	Bacteria	2.70E-18	306QY	unknown
AP018524.1||0_partial_1__00082	87.2	S	Bacteria	9.40E-25	2ZPVI	unknown
AP018524.1||0_partial_1__00083	123.5	S	Bacteria	1.20E-35	33GJ2	unknown
AP018524.1||0_partial_1__00084	278.9	S	Bacteria	1.10E-82	340IJ	Domain of unknown function (DUF2479)
AP018524.1||0_partial_1__00086	49.8	S	Bacteria	5.70E-13	COG4926	Phage minor structural protein
AP018524.1||0_partial_1__00087	102.4	S	Bacteria	3.20E-29	COG4722	phage tail
AP018524.1||0_partial_1__00088	213.9	S	Virus	5.00E-63	4QCW9	
AP018524.1||0_partial_1__00089	125.3	S	Bacteria	1.30E-36	33BHZ	unknown
AP018524.1||0_partial_1__00090	131.8	S	Bacteria	1.10E-38	333J2	"Phage tail assembly chaperone protein, TAC"
AP018524.1||0_partial_1__00091	209.2	S	Bacteria	3.20E-62	32TN4	Phage tail tube protein
AP018524.1||0_partial_1__00092	108.1	S	Bacteria	2.70E-31	33CCI	unknown
AP018524.1||0_partial_1__00093	68.5	S	Bacteria	7.90E-19	32YZX	Domain of unknown function (DUF4355)
AP018524.1||0_partial_1__00095	95.9	M	Eukarya	2.10E-27	2QSUT	Right handed beta helix region
AP018524.1||0_partial_1__00096	72.4	S	Bacteria	3.60E-20	32YZ1	unknown
AP018524.1||0_partial_1__00097	38.3	S	Bacteria	1.10E-09	306CX	unknown
AP018524.1||0_partial_1__00098	29.7	S	Bacteria	4.80E-07	308IX	unknown
AP018524.1||0_partial_1__00099	101.1	K	Bacteria	2.60E-29	33EHJ	unknown
AP018524.1||0_partial_1__00100	92.3	K	Bacteria	4.70E-26	COG2932	Transcriptional regulator
AP018526.1||0_partial_1__00002	21	S	Bacteria	0.00025	33K00	unknown
AP018526.1||0_partial_1__00004	102.8	M	Bacteria	2.00E-29	COG3757	"hydrolase, family 25"
AP018526.1||0_partial_1__00005	91.7	S	Bacteria	2.00E-26	33DW0	Putative phage holin Dp-1
AP018526.1||0_partial_1__00006	128.4	S	Bacteria	7.20E-38	307RS	BhlA holin family
AP018526.1||0_partial_1__00007	64.3	S	Bacteria	6.80E-18	30DAZ	Phage uncharacterised protein (Phage_XkdX)
AP018526.1||0_partial_1__00008	36.6	S	Bacteria	4.40E-09	32Q2N	unknown
AP018526.1||0_partial_1__00009	24.8	S	Bacteria	1.10E-05	32BYS	unknown
AP018526.1||0_partial_1__00010	59.2	S	Bacteria	3.80E-16	30IEZ	Domain of unknown function (DUF2479)
AP018526.1||0_partial_1__00011	22.5	S	Virus	5.50E-05	4QAYQ	Domain of unknown function (DUF2479)
AP018526.1||0_partial_1__00014	252.1	S	Bacteria	6.40E-75	33UC0	Prophage endopeptidase tail
AP018526.1||0_partial_1__00015	224.2	S	Bacteria	2.10E-66	333IU	Phage tail protein
AP018526.1||0_partial_1__00016	213.8	S	Bacteria	4.20E-63	COG3953	SLT domain
AP018526.1||0_partial_1__00017	34.9	S	Bacteria	1.30E-08	32SAU	unknown
AP018526.1||0_partial_1__00019	34.7	S	Bacteria	1.90E-08	33M08	"Phage tail assembly chaperone proteins, TAC"
AP018526.1||0_partial_1__00020	63.2	S	Bacteria	3.20E-17	32828	unknown
AP018526.1||0_partial_1__00021	128.9	S	Virus	1.50E-37	4QAYN	Pfam:Phage_TTP_1
AP018526.1||0_partial_1__00022	28	S	Bacteria	1.60E-06	30DI1	unknown
AP018526.1||0_partial_1__00023	76.8	S	Bacteria	1.50E-21	344QS	"Bacteriophage HK97-gp10, putative tail-component"
AP018526.1||0_partial_1__00024	49.1	S	Bacteria	4.90E-13	30A1G	head-tail joining protein
AP018526.1||0_partial_1__00025	95.5	S	Bacteria	1.70E-27	33C0D	DNA packaging
AP018526.1||0_partial_1__00026	131.3	S	Bacteria	6.60E-38	COG4653	Phage capsid family
AP018526.1||0_partial_1__00027	126.9	S	Bacteria	9.40E-37	COG3740	"Phage prohead protease, HK97 family"
AP018526.1||0_partial_1__00028	145.8	S	Virus	1.80E-42	4QAYV	Phage portal protein
AP018526.1||0_partial_1__00029	256	S	Virus	5.70E-76	4QBV3	Phage Terminase
AP018526.1||0_partial_1__00030	47.8	S	Virus	6.50E-13	4QBV3	Phage Terminase
AP018526.1||0_partial_1__00031	88.9	S	Virus	2.80E-25	4QBS6	"Phage terminase, small subunit"
AP018526.1||0_partial_1__00032	48.4	V	Archaea	7.90E-13	arCOG03898	COG1403 Restriction endonuclease
AP018526.1||0_partial_1__00034	134	S	Bacteria	1.20E-39	30JP1	unknown
AP018526.1||0_partial_1__00035	18.8	M	Bacteria	0.00084	32ITQ	unknown
AP018526.1||0_partial_1__00036	137.3	S	Bacteria	3.20E-40	32YZ1	unknown
AP018526.1||0_partial_1__00037	124.9	S	Bacteria	2.70E-36	33670	unknown
AP018526.1||0_partial_1__00039	21.1	S	Bacteria	0.00017	30BXX	unknown
AP018526.1||0_partial_1__00040	20.4	S	Bacteria	0.00024	2ZCCB	unknown
AP018526.1||0_partial_1__00041	110.5	S	Virus	7.90E-32	4QB0C	Endodeoxyribonuclease RusA
AP018526.1||0_partial_1__00042	180.9	S	Virus	1.60E-53	4QAU9	Single-strand binding protein family
AP018526.1||0_partial_1__00043	19.8	S	Bacteria	0.00063	306BI	unknown
AP018526.1||0_partial_1__00044	123.7	S	Bacteria	1.10E-35	2Z9J1	"Phage replisome organizer, N-terminal domain protein"
AP018526.1||0_partial_1__00045	249.5	S	Bacteria	2.80E-74	32SWP	Putative HNHc nuclease
AP018526.1||0_partial_1__00046	220.6	S	Bacteria	1.80E-65	32SQ7	Erf family
AP018526.1||0_partial_1__00047	171.6	S	Bacteria	1.10E-50	330BC	Siphovirus Gp157
AP018526.1||0_partial_1__00048	25.8	S	Bacteria	1.10E-05	3068Y	unknown
AP018526.1||0_partial_1__00052	85.6	S	Bacteria	1.40E-24	32UWV	unknown
AP018526.1||0_partial_1__00055	88.8	K	Bacteria	4.30E-25	COG3561	AntA/AntB antirepressor
AP018526.1||0_partial_1__00056	118.5	S	Bacteria	1.30E-34	303VE	unknown
AP018526.1||0_partial_1__00057	47.9	S	Bacteria	8.60E-13	3076P	unknown
AP018526.1||0_partial_1__00059	153.9	K	Bacteria	2.20E-45	COG3617	"BRO family, N-terminal domain"
AP018526.1||0_partial_1__00060	113.9	S	Bacteria	2.40E-33	33KKC	unknown
AP018526.1||0_partial_1__00061	97.5	K	Bacteria	1.10E-27	COG2932	Transcriptional regulator
AP018526.1||0_partial_1__00062	59.3	S	Bacteria	3.60E-16	331IF	unknown
AP018526.1||0_partial_1__00063	60	S	Bacteria	1.50E-16	33GYX	unknown
AP018526.1||0_partial_1__00064	116.7	S	Bacteria	8.50E-34	COG3646	Phage regulatory protein
AP018526.1||0_partial_1__00065	60.7	S	Bacteria	1.10E-16	30BSH	unknown
AP018526.1||1_partial_1__00001	203.1	S	Virus	6.20E-60	4QCGD	Bacteriophage peptidoglycan hydrolase
AP018526.1||1_partial_1__00002	86.1	S	Bacteria	1.10E-24	33DW0	Putative phage holin Dp-1
AP018526.1||1_partial_1__00003	109	S	Bacteria	8.00E-32	307RS	BhlA holin family
AP018526.1||1_partial_1__00005	66.7	S	Bacteria	2.70E-18	306QY	unknown
AP018526.1||1_partial_1__00006	87.2	S	Bacteria	9.40E-25	2ZPVI	unknown
AP018526.1||1_partial_1__00007	126.4	S	Bacteria	1.60E-36	33GJ2	unknown
AP018526.1||1_partial_1__00008	275	S	Bacteria	1.70E-81	340IJ	Domain of unknown function (DUF2479)
AP018526.1||1_partial_1__00010	49.8	S	Bacteria	5.70E-13	COG4926	Phage minor structural protein
AP018526.1||1_partial_1__00011	102.4	S	Bacteria	3.20E-29	COG4722	phage tail
AP018526.1||1_partial_1__00012	213.9	S	Virus	5.00E-63	4QCW9	
AP018526.1||1_partial_1__00013	125.3	S	Bacteria	1.30E-36	33BHZ	unknown
AP018526.1||1_partial_1__00014	131.8	S	Bacteria	1.10E-38	333J2	"Phage tail assembly chaperone protein, TAC"
AP018526.1||1_partial_1__00015	208.7	S	Bacteria	4.70E-62	32TN4	Phage tail tube protein
AP018526.1||1_partial_1__00016	107.6	S	Bacteria	4.00E-31	33CCI	unknown
AP018526.1||1_partial_1__00017	68.5	S	Bacteria	7.90E-19	32YZX	Domain of unknown function (DUF4355)
AP018526.1||1_partial_1__00019	72.7	M	Eukarya	2.20E-20	2QSUT	Right handed beta helix region
AP018526.1||1_partial_1__00020	32.3	S	Bacteria	1.20E-09	COG4733	cellulase activity
AP018526.1||1_partial_1__00021	71.8	S	Bacteria	5.40E-20	32YZ1	unknown
AP018526.1||1_partial_1__00022	38.3	S	Bacteria	1.10E-09	306CX	unknown
AP018526.1||1_partial_1__00023	29.7	S	Bacteria	4.80E-07	308IX	unknown
AP018526.1||1_partial_1__00024	40.1	K	Bacteria	2.80E-10	33EHJ	unknown
AP018526.1||1_partial_1__00025	92.3	K	Bacteria	4.70E-26	COG2932	Transcriptional regulator
AP018526.1||1_partial_1__00026	52.7	S	Bacteria	6.00E-14	30AC6	Metal binding domain of Ada
AP021885.1||0_partial_1__00002	21	S	Bacteria	0.00025	33K00	unknown
AP021885.1||0_partial_1__00004	102.8	M	Bacteria	2.00E-29	COG3757	"hydrolase, family 25"
AP021885.1||0_partial_1__00005	91.7	S	Bacteria	2.00E-26	33DW0	Putative phage holin Dp-1
AP021885.1||0_partial_1__00006	128.4	S	Bacteria	7.20E-38	307RS	BhlA holin family
AP021885.1||0_partial_1__00007	64.3	S	Bacteria	6.80E-18	30DAZ	Phage uncharacterised protein (Phage_XkdX)
AP021885.1||0_partial_1__00008	36.6	S	Bacteria	4.40E-09	32Q2N	unknown
AP021885.1||0_partial_1__00009	24.8	S	Bacteria	1.10E-05	32BYS	unknown
AP021885.1||0_partial_1__00010	59.2	S	Bacteria	3.80E-16	30IEZ	Domain of unknown function (DUF2479)
AP021885.1||0_partial_1__00011	22.5	S	Virus	5.50E-05	4QAYQ	Domain of unknown function (DUF2479)
AP021885.1||0_partial_1__00014	252.1	S	Bacteria	6.40E-75	33UC0	Prophage endopeptidase tail
AP021885.1||0_partial_1__00015	224.2	S	Bacteria	2.10E-66	333IU	Phage tail protein
AP021885.1||0_partial_1__00016	213.8	S	Bacteria	4.20E-63	COG3953	SLT domain
AP021885.1||0_partial_1__00017	34.9	S	Bacteria	1.30E-08	32SAU	unknown
AP021885.1||0_partial_1__00019	34.7	S	Bacteria	1.90E-08	33M08	"Phage tail assembly chaperone proteins, TAC"
AP021885.1||0_partial_1__00020	63.2	S	Bacteria	3.20E-17	32828	unknown
AP021885.1||0_partial_1__00021	128.9	S	Virus	1.50E-37	4QAYN	Pfam:Phage_TTP_1
AP021885.1||0_partial_1__00022	28	S	Bacteria	1.60E-06	30DI1	unknown
AP021885.1||0_partial_1__00023	76.8	S	Bacteria	1.50E-21	344QS	"Bacteriophage HK97-gp10, putative tail-component"
AP021885.1||0_partial_1__00024	49.1	S	Bacteria	4.90E-13	30A1G	head-tail joining protein
AP021885.1||0_partial_1__00025	95.5	S	Bacteria	1.70E-27	33C0D	DNA packaging
AP021885.1||0_partial_1__00026	131.3	S	Bacteria	6.60E-38	COG4653	Phage capsid family
AP021885.1||0_partial_1__00027	126.9	S	Bacteria	9.40E-37	COG3740	"Phage prohead protease, HK97 family"
AP021885.1||0_partial_1__00028	145.8	S	Virus	1.80E-42	4QAYV	Phage portal protein
AP021885.1||0_partial_1__00029	256	S	Virus	5.70E-76	4QBV3	Phage Terminase
AP021885.1||0_partial_1__00030	47.8	S	Virus	6.50E-13	4QBV3	Phage Terminase
AP021885.1||0_partial_1__00031	88.9	S	Virus	2.80E-25	4QBS6	"Phage terminase, small subunit"
AP021885.1||0_partial_1__00032	48.4	V	Archaea	7.90E-13	arCOG03898	COG1403 Restriction endonuclease
AP021885.1||0_partial_1__00034	134	S	Bacteria	1.20E-39	30JP1	unknown
AP021885.1||0_partial_1__00035	18.8	M	Bacteria	0.00084	32ITQ	unknown
AP021885.1||0_partial_1__00036	137.3	S	Bacteria	3.20E-40	32YZ1	unknown
AP021885.1||0_partial_1__00037	124.9	S	Bacteria	2.70E-36	33670	unknown
AP021885.1||0_partial_1__00039	21.1	S	Bacteria	0.00017	30BXX	unknown
AP021885.1||0_partial_1__00040	20.4	S	Bacteria	0.00024	2ZCCB	unknown
AP021885.1||0_partial_1__00041	110.5	S	Virus	7.90E-32	4QB0C	Endodeoxyribonuclease RusA
AP021885.1||0_partial_1__00042	180.9	S	Virus	1.60E-53	4QAU9	Single-strand binding protein family
AP021885.1||0_partial_1__00043	19.8	S	Bacteria	0.00063	306BI	unknown
AP021885.1||0_partial_1__00044	123.7	S	Bacteria	1.10E-35	2Z9J1	"Phage replisome organizer, N-terminal domain protein"
AP021885.1||0_partial_1__00045	249.5	S	Bacteria	2.80E-74	32SWP	Putative HNHc nuclease
AP021885.1||0_partial_1__00046	220.6	S	Bacteria	1.80E-65	32SQ7	Erf family
AP021885.1||0_partial_1__00047	171.6	S	Bacteria	1.10E-50	330BC	Siphovirus Gp157
AP021885.1||0_partial_1__00048	25.8	S	Bacteria	1.10E-05	3068Y	unknown
AP021885.1||0_partial_1__00052	85.6	S	Bacteria	1.40E-24	32UWV	unknown
AP021885.1||0_partial_1__00055	88.8	K	Bacteria	4.30E-25	COG3561	AntA/AntB antirepressor
AP021885.1||0_partial_1__00056	118.5	S	Bacteria	1.30E-34	303VE	unknown
AP021885.1||0_partial_1__00057	47.9	S	Bacteria	8.60E-13	3076P	unknown
AP021885.1||0_partial_1__00059	153.9	K	Bacteria	2.20E-45	COG3617	"BRO family, N-terminal domain"
AP021885.1||0_partial_1__00060	113.9	S	Bacteria	2.40E-33	33KKC	unknown
AP021885.1||0_partial_1__00061	97.5	K	Bacteria	1.10E-27	COG2932	Transcriptional regulator
AP021885.1||0_partial_1__00062	59.3	S	Bacteria	3.60E-16	331IF	unknown
AP021885.1||0_partial_1__00063	60	S	Bacteria	1.50E-16	33GYX	unknown
AP021885.1||0_partial_1__00064	116.7	S	Bacteria	8.50E-34	COG3646	Phage regulatory protein
AP021885.1||0_partial_1__00065	60.7	S	Bacteria	1.10E-16	30BSH	unknown
AP021885.1||1_partial_1__00001	203.1	S	Virus	6.20E-60	4QCGD	Bacteriophage peptidoglycan hydrolase
AP021885.1||1_partial_1__00002	86.1	S	Bacteria	1.10E-24	33DW0	Putative phage holin Dp-1
AP021885.1||1_partial_1__00003	109	S	Bacteria	8.00E-32	307RS	BhlA holin family
AP021885.1||1_partial_1__00005	66.7	S	Bacteria	2.70E-18	306QY	unknown
AP021885.1||1_partial_1__00006	87.2	S	Bacteria	9.40E-25	2ZPVI	unknown
AP021885.1||1_partial_1__00007	126.4	S	Bacteria	1.60E-36	33GJ2	unknown
AP021885.1||1_partial_1__00008	275	S	Bacteria	1.70E-81	340IJ	Domain of unknown function (DUF2479)
AP021885.1||1_partial_1__00010	49.8	S	Bacteria	5.70E-13	COG4926	Phage minor structural protein
AP021885.1||1_partial_1__00011	102.4	S	Bacteria	3.20E-29	COG4722	phage tail
AP021885.1||1_partial_1__00012	213.9	S	Virus	5.00E-63	4QCW9	
AP021885.1||1_partial_1__00013	125.3	S	Bacteria	1.30E-36	33BHZ	unknown
AP021885.1||1_partial_1__00014	131.8	S	Bacteria	1.10E-38	333J2	"Phage tail assembly chaperone protein, TAC"
AP021885.1||1_partial_1__00015	208.7	S	Bacteria	4.70E-62	32TN4	Phage tail tube protein
AP021885.1||1_partial_1__00016	107.6	S	Bacteria	4.00E-31	33CCI	unknown
AP021885.1||1_partial_1__00017	68.5	S	Bacteria	7.90E-19	32YZX	Domain of unknown function (DUF4355)
AP021885.1||1_partial_1__00019	72.7	M	Eukarya	2.20E-20	2QSUT	Right handed beta helix region
AP021885.1||1_partial_1__00020	32.3	S	Bacteria	1.20E-09	COG4733	cellulase activity
AP021885.1||1_partial_1__00021	71.8	S	Bacteria	5.40E-20	32YZ1	unknown
AP021885.1||1_partial_1__00022	38.3	S	Bacteria	1.10E-09	306CX	unknown
AP021885.1||1_partial_1__00023	29.7	S	Bacteria	4.80E-07	308IX	unknown
AP021885.1||1_partial_1__00024	40.1	K	Bacteria	2.80E-10	33EHJ	unknown
AP021885.1||1_partial_1__00025	92.3	K	Bacteria	4.70E-26	COG2932	Transcriptional regulator
AP021885.1||1_partial_1__00026	52.7	S	Bacteria	6.00E-14	30AC6	Metal binding domain of Ada
AVQL01000428.1||full_1__00001	97.4	S	Virus	9.60E-28	4QC7J	
AVQL01000428.1||full_1__00002	131.3	S	Bacteria	3.80E-38	COG4540	Baseplate assembly protein
AVQL01000428.1||full_1__00003	75.1	S	Bacteria	7.20E-21	COG3628	GPW Gp25 family protein
AVQL01000428.1||full_1__00004	256.1	S	Bacteria	4.40E-76	COG3948	Baseplate J-like protein
AVQL01000428.1||full_1__00005	62.2	S	Bacteria	6.10E-17	COG4385	Tail protein
AVQL01000428.1||full_1__00006	131.5	S	Virus	2.00E-38	4QGUT	
AVQL01000428.1||full_1__00007	67.2	S	Bacteria	2.10E-18	339P5	unknown
AVQL01000451.1||full_1__00001	129.1	S	Bacteria	9.00E-38	30RJN	unknown
AVQL01000451.1||full_1__00002	24.5	S	Bacteria	2.20E-05	33NNB	unknown
AVQL01000451.1||full_1__00003	79.1	S	Bacteria	2.80E-22	32FQR	unknown
AVQL01000451.1||full_1__00004	42.7	S	Virus	2.30E-11	4QB07	
AVQL01000451.1||full_1__00006	269.8	L	Bacteria	2.80E-80	COG2974	May be involved in recombination
AVQL01000451.1||full_1__00007	257.8	L	Bacteria	6.10E-77	3036R	YqaJ-like viral recombinase domain
AVQL01000451.1||full_1__00008	101.4	S	Bacteria	5.20E-29	323AV	Protein of unknown function (DUF1071)
AVQL01000451.1||full_1__00010	88.9	S	Bacteria	3.40E-25	337GM	unknown
AVQL01000451.1||full_1__00011	104	K	Bacteria	1.20E-29	COG2932	Transcriptional regulator
AVQL01000451.1||full_1__00012	55.1	S	Bacteria	4.30E-15	33J2N	unknown
AVQL01000451.1||full_1__00013	92	S	Bacteria	1.50E-26	33DHF	Helix-turn-helix domain
AVQL01000451.1||full_1__00014	82	S	Bacteria	4.30E-23	312U5	unknown
AVQL01000451.1||full_1__00015	209.1	S	Virus	7.50E-62	4QBU2	IstB-like ATP binding protein
AVQL01000451.1||full_1__00016	198.3	S	Virus	1.10E-58	4QEMB	Bacteriophage Lambda NinG protein
AVQL01000451.1||full_1__00017	183.1	S	Bacteria	1.50E-54	335DX	NinB protein
AVQL01000451.1||full_1__00018	18.5	S	Eukarya	0.0007	2RDSW	unknown
AVQL01000451.1||full_1__00020	62.2	L	Bacteria	3.50E-17	COG3392	D12 class N6 adenine-specific DNA methyltransferase
AVQL01000451.1||full_1__00022	72.6	V	Archaea	3.60E-20	arCOG03898	COG1403 Restriction endonuclease
AVQL01000451.1||full_1__00023	57.7	S	Virus	1.60E-15	4QB6U	Terminase small subunit
AVQL01000451.1||full_1__00024	277.4	S	Virus	1.90E-82	4QBV3	Phage Terminase
AVQL01000451.1||full_1__00025	241.9	S	Virus	1.20E-71	4QAYV	Phage portal protein
AVQL01000451.1||full_1__00026	153.5	S	Bacteria	7.40E-45	COG3740	"Phage prohead protease, HK97 family"
AVQL01000451.1||full_1__00027	170.7	S	Bacteria	6.70E-50	COG4653	Phage capsid family
AVQL01000451.1||full_1__00028	110.8	S	Bacteria	2.90E-32	32T3A	Phage gp6-like head-tail connector protein
AVQL01000451.1||full_1__00029	59.6	S	Virus	2.60E-16	4QB12	Phage head-tail joining protein
AVQL01000451.1||full_1__00030	61.7	S	Bacteria	9.20E-17	33GVG	"TIGRFAM phage protein, HK97 gp10 family"
AVQL01000451.1||full_1__00031	35.7	S	Bacteria	6.90E-09	32USX	Protein of unknown function (DUF3168)
AVQL01000451.1||full_1__00032	229.4	S	Bacteria	3.20E-68	32CTZ	unknown
AVQL01000451.1||full_1__00033	21.9	S	Bacteria	0.00012	33G2E	unknown
AVQL01000451.1||full_1__00034	27.6	S	Bacteria	2.90E-06	33N9Q	Protein of unknown function (DUF4035)
AVQL01000451.1||full_1__00035	24	S	Bacteria	3.30E-05	339RX	unknown
AVQL01000451.1||full_1__00036	218.6	S	Bacteria	1.40E-64	COG5281	sister chromatid segregation
AVQL01000451.1||full_1__00037	242	S	Bacteria	3.70E-72	34A5Z	unknown
AVQL01000451.1||full_1__00038	1035.8	S	Bacteria	0	317FK	unknown
AVQL01000451.1||full_1__00040	29.5	S	Bacteria	2.90E-07	31W5W	unknown
AVQL01000451.1||full_1__00042	229.9	S	Bacteria	1.20E-68	32UHQ	unknown
AVQL01000451.1||full_1__00043	117	S	Bacteria	3.80E-34	33H0Q	unknown
AVQL01000451.1||full_1__00044	114.9	S	Bacteria	1.50E-33	COG2929	"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system"
AVQL01000451.1||full_1__00045	49.4	S	Bacteria	6.60E-13	COG3514	BrnA antitoxin of type II toxin-antitoxin system
AVQL01000451.1||full_1__00046	29.4	S	Bacteria	1.20E-07	COG4322	protein conserved in bacteria
AZBY01000020.1||0_partial__00001	47.2	EG	Archaea	1.60E-12	arCOG00271	COG0697 Permeases of the drug metabolite transporter (DMT) superfamily
AZBY01000020.1||0_partial__00002	255.9	S	Virus	7.10E-76	4QAQE	Phage integrase family
AZBY01000020.1||0_partial__00003	59.2	K	Bacteria	5.90E-16	COG3655	Transcriptional regulator
AZBY01000020.1||0_partial__00004	59	S	Bacteria	2.70E-16	30C8A	unknown
AZBY01000020.1||0_partial__00005	61.1	S	Bacteria	9.50E-17	32NA3	unknown
AZBY01000020.1||0_partial__00006	37	S	Bacteria	3.10E-09	COG3646	Phage regulatory protein
AZBY01000020.1||0_partial__00008	33.8	S	Virus	2.50E-08	4QB0K	Protein of unknown function (DUF739)
AZBY01000020.1||0_partial__00009	21.7	S	Bacteria	0.00016	32WAJ	Domain of unknown function (DUF4259)
AZBY01000020.1||0_partial__00010	52.2	L	Bacteria	7.80E-14	COG3935	DnaD domain protein
AZBY01000020.1||0_partial__00011	202.6	S	Virus	7.10E-60	4QBU2	IstB-like ATP binding protein
AZBY01000020.1||0_partial__00012	30.9	S	Bacteria	2.00E-07	30KIR	Domain of unknown function (DUF5067)
AZBY01000020.1||0_partial__00013	220.2	S	Bacteria	5.00E-65	COG3953	SLT domain
AZBY01000020.1||0_partial__00014	42.7	S	Bacteria	4.60E-11	33B6R	unknown
AZBY01000020.1||0_partial__00016	108.2	S	Virus	5.50E-31	4QB6U	Terminase small subunit
AZBY01000020.1||0_partial__00017	50.4	S	Bacteria	2.10E-13	32NA3	unknown
AZBY01000020.1||0_partial__00019	30.6	S	Bacteria	1.70E-07	COG4990	cell redox homeostasis
CH981373.1||full_1__00001	215.7	S	Virus	1.20E-63	4QAQE	Phage integrase family
CH981373.1||full_1__00002	102.3	S	Virus	2.10E-29	4QCCB	Pfam:Peptidase_M78
CH981373.1||full_1__00003	87.1	K	Bacteria	9.80E-25	COG1476	TRANSCRIPTIONal
CH981373.1||full_1__00004	42.7	K	Bacteria	4.30E-11	2ZW9J	Helix-turn-helix domain
